"entity_graph"
"""<graphml xmlns=http://graphml.graphdrawing.org/xmlns xmlns:xsi=http://www.w3.org/2001/XMLSchema-instance xsi:schemaLocation=http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd>
  <key id=d5 for=edge attr.name=source_id attr.type=string />
  <key id=d4 for=edge attr.name=description attr.type=string />
  <key id=d3 for=edge attr.name=weight attr.type=double />
  <key id=d2 for=node attr.name=source_id attr.type=string />
  <key id=d1 for=node attr.name=description attr.type=string />
  <key id=d0 for=node attr.name=type attr.type=string />
  <graph edgedefault=undirected>
    <node id=&quot;&#35199;&#28216;&#37322;&#21380;&#20256;&quot;>
      <data key=d0>ORGANIZATION</data>
      <data key=d1>&#35199;&#28216;&#37322;&#21380;&#20256;&#26159;&#19968;&#37096;&#21476;&#20856;&#25991;&#23398;&#20316;&#21697;&#65292;&#35762;&#36848;&#20102;&#20851;&#20110;&#20462;&#34892;&#21644;&#25506;&#32034;&#30340;&#25925;&#20107;&#12290;</data>
      <data key=d2>233bdbba49888389945ad7e89f16643b</data>
    </node>
    <node id=&quot;&#30424;&#21476;&quot;>
      <data key=d0>PERSON</data>
      <data key=d1>&#30424;&#21476;&#26159;&#20013;&#22269;&#31070;&#35805;&#20013;&#24320;&#22825;&#36767;&#22320;&#30340;&#31070;&#31047;&#65292;&#35937;&#24449;&#30528;&#23431;&#23449;&#30340;&#36215;&#28304;&#21644;&#21019;&#36896;&#12290;</data>
      <data key=d2>233bdbba49888389945ad7e89f16643b</data>
    </node>
    <node id=&quot;&#37045;&#24247;&#33410;&quot;>
      <data key=d0>PERSON</data>
      <data key=d1>&#37045;&#24247;&#33410;&#26159;&#23435;&#20195;&#33879;&#21517;&#30340;&#29702;&#23398;&#23478;&#21644;&#22825;&#25991;&#23398;&#23478;&#65292;&#23545;&#22825;&#22320;&#36816;&#34892;&#26377;&#28145;&#21051;&#35265;&#35299;&#12290;</data>
      <data key=d2>233bdbba49888389945ad7e89f16643b</data>
    </node>
    <node id=&quot;&#20658;&#26469;&#22269;&quot;>
      <data key=d0>GEO</data>
      <data key=d1>&#20658;&#26469;&#22269;&#26159;&#19968;&#20010;&#22269;&#23478;&#65292;&#25317;&#26377;&#22478;&#27744;&#21644;&#20891;&#27665;&#65292;&#26159;&#24735;&#31354;&#33719;&#21462;&#20853;&#22120;&#30340;&#22320;&#26041;&#12290;&#23427;&#20301;&#20110;&#32654;&#29492;&#29579;&#25152;&#22312;&#23665;&#30340;&#19996;&#36793;&#20108;&#30334;&#37324;&#27700;&#38754;&#22788;&#65292;&#21487;&#33021;&#25317;&#26377;&#21046;&#36896;&#38155;&#21033;&#27494;&#22120;&#30340;&#36164;&#28304;&#12290;&#21516;&#26102;&#65292;&#20658;&#26469;&#22269;&#20063;&#26159;&#19968;&#20010;&#34394;&#26500;&#30340;&#22269;&#23478;&#65292;&#20301;&#20110;&#19996;&#32988;&#31070;&#27954;&#30340;&#28023;&#22806;&#65292;&#38752;&#36817;&#22823;&#28023;&#12290;</data>
      <data key=d2>233bdbba49888389945ad7e89f16643b,53f1b7060f4f458837118be405e14d48,d3181a41c1c956123a49b3642950dc17</data>
    </node>
    <node id=&quot;&#33457;&#26524;&#23665;&quot;>
      <data key=d0>GEO</data>
